web-scraper-order,web-scraper-start-url,product_name,price,product_sold
"1705482488-124","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Panjang Woven Top Check Rayon Twill Wanita 117055769","119.960","20 Terjual"
"1705482488-125","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","ST. YVES Blouse Lengan Panjang Wanita 7/8 Viscose V Neck 116102192","119.960","53 Terjual"
"1705482488-126","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Maxi Dress Lengan Panjang Cute Rose 116728981","119.960","13 Terjual"
"1705482488-127","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Panjang Stripe Long Rayon 116094497","119.960","42 Terjual"
"1705482488-128","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Details Front Pocket Maxi Dress Wanita 116089896","119.960","16 Terjual"
"1705482488-129","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Exit Girls Raisa Aleksandrina Blouse Anak Perempuan 117960236","122.970","10 Terjual"
"1705482488-130","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Exit Girls Agneta Catrine Blouse Anak Perempuan 117960414","122.970","8 Terjual"
"1705482488-131","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Disney Kaos Tsum2 Marie Coord Wanita 117911655","124.950","24 Terjual"
"1705482488-132","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Kemeja 3/4 Vn Kemeja Rlup Rayon Twill Wanita 116108892","124.950","39 Terjual"
"1705482488-133","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Minimal Baggy Stripe Top 105052249","124.950","1 Terjual"
"1705482488-134","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Kaos 3/4 Stripy Elasticated Sleeve Wanita 118091370","125.930","92 Terjual"
"1705482488-135","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Sport Kaos Lengan Panjang Fashion Wanita 117070975","125.930","27 Terjual"
"1705482488-136","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Connexion Kemeja Plain Basic Hidden Buttons Wanita 115997513","126.445","23 Terjual"
"1705482488-137","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Panjang Woven Check Flannel Wanita 117079994","127.960","28 Terjual"
"1705482488-138","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Panjang Long Check Wanita 117056375","127.960","27 Terjual"
"1705482488-139","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Arjuna Weda Sackdress Batik Kembang Wanita 113898955","129.000","7 Terjual"
"1705482488-140","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Arjuna Weda Tunik Batik Wanita Kembang Pita 105112648","129.000","3 Terjual"
"1705482488-141","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Arjuna Weda Sackdress Batik Kembang Wanita 113899150","129.000","8 Terjual"
"1705482488-142","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Adikusuma Blouse Batik Kawung Beton 105086123","129.000","1 Terjual"
"1705482488-143","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Short Sleeve T-Shirt Wanita Life Is Cool","129.900","5 Terjual"
"1705482488-144","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kaos Cotton Usa Casual Is The New Trend Wanita 115329066","129.900","26 Terjual"
"1705482488-145","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Matahari - Connexion Short Sleeve T-Shirt Oversize Plain","129.900","11 Terjual"
"1705482488-146","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Sophistix Morag Blouse 105058396","130.000","1 Terjual"
"1705482488-147","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Oversize Flanel Wanita Print Check 115956889","131.960","24 Terjual"
"1705482488-148","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada OVZ Check Kemeja Wanita 115956870","131.960","14 Terjual"
"1705482488-149","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Details Drawstring Waist Dress Wanita 115510761","131.960","26 Terjual"
"1705482488-150","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Sweatshirt Wanita Wide Pocket 115905808","134.950","68 Terjual"
"1705482488-151","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Disney Dumbo Print Sweater Wanita 117715537","134.950","21 Terjual"
"1705482488-152","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Sweatshirt Wanita Sld Aspire To Inspire 115867252","135.960","75 Terjual"
"1705482488-153","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Lois Girl Cotton Jeans & Love Kaos Wanita114704205","137.700","2 Terjual"
"1705482488-154","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Eprise Journee Adaline Dress Wanita 115511448","137.940","3 Terjual"
"1705482488-155","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Eprise Journee Elea Blouse Wanita 116156394","137.940","3 Terjual"
